Category	P	P.adj	fdr_sig	dataset_name	z	adjusted_for	prop_sn_ps	prop_h2	prop_h2_std_error	enrichment	enrichment_std_error	enrichment_p	coefficient	coefficient_std_error
Deep-layer corticothalamic and 6b	0.03717611640522589	0.07435223281045178	no	iq	1.7844397746653295	Eccentric medium spiny neuron	0.14169744507737506	0.17930419444344683	0.01085013209367015	1.265401746273804	0.076572531620068	7.9078791947736e-4	4.816906603871098e-9	2.699394326588862e-9
Deep-layer corticothalamic and 6b	0.06468820242679751	0.08625093656906335	no	iq	1.5165655653625996	Hippocampal CA1-3	0.14169744507737506	0.179178632211771	0.01105366188828164	1.2645156171582983	0.07800890045861944	0.00102764498074226	4.240623821044904e-9	2.7962021015761374e-9
Deep-layer corticothalamic and 6b	0.0314784119693462	0.07435223281045178	no	iq	1.859496294954667	Hippocampal CA4	0.14169744507737506	0.1786658679058434	0.0109894857590702	1.2608968906128226	0.07755599088656327	0.00110999629568879	5.211962978333443e-9	2.8028896817245374e-9
Deep-layer corticothalamic and 6b	0.01331849265849605	0.06150243819026979	no	iq	2.216796726531209	LAMP5-LHX6 and Chandelier	0.14169744507737506	0.17858188573458905	0.01082560472010288	1.2603042040530297	0.07639943482531725	9.5073812542133e-4	6.0329432238466925e-9	2.721468843598889e-9
Deep-layer corticothalamic and 6b	0.05847095108676836	0.08625093656906335	no	iq	1.5677396589198884	Upper-layer intratelencephalic	0.14169744507737506	0.17866798093758926	0.01104433329621918	1.2609118028911963	0.07794306587665246	0.00117200833701903	4.252955961349986e-9	2.712794778872984e-9
Deep-layer intratelencephalic	0.01948465957401157	0.02199447978772006	yes	iq	2.0645107137249896	Amygdala excitatory	0.13561372880676392	0.18769238548138228	0.01087842493762613	1.3840220096655942	0.08021625121101722	5.9480843014509175e-6	7.021558241351573e-9	3.401076194311726e-9
Deep-layer intratelencephalic	5.231112139002514e-4	0.0028652104297735	yes	iq	3.27779258085447	CGE interneuron	0.13561372880676392	0.18785354745614383	0.01085324456703493	1.3852103994855598	0.08003057406156662	4.888918588540313e-6	9.379687627459822e-9	2.861586691679765e-9
Deep-layer intratelencephalic	0.0032710815036786	0.00523373040588577	yes	iq	2.719292993126926	Deep-layer corticothalamic and 6b	0.13561372880676392	0.18778211944433937	0.01094587622017467	1.3846836975621415	0.08071362919141808	6.262349395109466e-6	8.644863837363404e-9	3.179085100139445e-9
Deep-layer intratelencephalic	0.00175932484808594	0.00393589929329141	yes	iq	2.918371408744256	Eccentric medium spiny neuron	0.13561372880676392	0.18766372637862017	0.01061909833988538	1.383810680746212	0.0783040067795536	3.4558436742853013e-6	8.314301889466025e-9	2.848952626301797e-9
Deep-layer intratelencephalic	0.00576256589512524	0.00768342119350033	yes	iq	2.52635998664176	Hippocampal CA1-3	0.13561372880676392	0.18764529763441004	0.01082902546990217	1.383674789311235	0.07985198523176408	5.4936213137679674e-6	7.744464044713705e-9	3.065463388298936e-9
Deep-layer intratelencephalic	0.0019679496466457	0.00393589929329141	yes	iq	2.8832540029457476	Hippocampal CA4	0.13561372880676392	0.18739557555060812	0.01086946797709331	1.3818333674581589	0.08015020361678299	6.287785631460065e-6	8.811773044035706e-9	3.0561903443237887e-9
Deep-layer intratelencephalic	7.163026074433754e-4	0.0028652104297735	yes	iq	3.1880000303196936	LAMP5-LHX6 and Chandelier	0.13561372880676392	0.18718484041741135	0.01076224316929865	1.3802794308836617	0.07935954024709235	5.4271963306302056e-6	9.156320385544105e-9	2.872120545314394e-9
Deep-layer intratelencephalic	0.02199447978772006	0.02199447978772006	yes	iq	2.014195999224151	Upper-layer intratelencephalic	0.13561372880676392	0.18801872812131085	0.01091029124615742	1.3864284226652217	0.08045122969595137	5.386912035267725e-6	7.2885430224276845e-9	3.618586783627393e-9
Eccentric medium spiny neuron	4.339243096470602e-4	4.339243096470602e-4	yes	iq	3.330196030805363	Amygdala excitatory	0.13994057195924484	0.19832584910291665	0.0109896088420524	1.4172147957253989	0.07853054113036588	3.315712791258288e-7	8.987625342860523e-9	2.698827714561592e-9
Eccentric medium spiny neuron	1.825615003322456e-4	2.749786068550871e-4	yes	iq	3.564088326327189	CGE interneuron	0.13994057195924484	0.19887876380158623	0.01097152243844631	1.4211658636032023	0.07840129767113978	2.443000648700862e-7	9.904828440831556e-9	2.779063685842638e-9
Eccentric medium spiny neuron	1.0086056434222002e-4	2.749786068550871e-4	yes	iq	3.716851248129072	Deep-layer corticothalamic and 6b	0.13994057195924484	0.1986094317321696	0.01101088257432817	1.4192412461341877	0.07868256089116811	3.237992922659781e-7	1.0014837700084656e-8	2.694441351433088e-9
Eccentric medium spiny neuron	2.4060628099820125e-4	2.749786068550871e-4	yes	iq	3.4910020494473537	Deep-layer intratelencephalic	0.13994057195924484	0.1984271489341225	0.01090297358685023	1.4179386732241657	0.07791145508555966	2.5322076207586154e-7	9.520141168617198e-9	2.727051154302328e-9
Eccentric medium spiny neuron	1.608957732305294e-4	2.749786068550871e-4	yes	iq	3.5970945422228904	Hippocampal CA1-3	0.13994057195924484	0.19818040195826808	0.01092419343730865	1.4161754463600773	0.07806308981279658	2.946370047216394e-7	9.476024234373766e-9	2.6343550671642575e-9
Eccentric medium spiny neuron	9.96131495772934e-5	2.749786068550871e-4	yes	iq	3.7199955360662047	Hippocampal CA4	0.13994057195924484	0.198076766661248	0.01097196975852565	1.415434879878398	0.07840449417143333	3.532834888807206e-7	1.0082861198297391e-8	2.7104498111736304e-9
Eccentric medium spiny neuron	1.383959130976109e-4	2.749786068550871e-4	yes	iq	3.636104738173272	LAMP5-LHX6 and Chandelier	0.13994057195924484	0.198198683868648	0.01093037691393411	1.416306086889296	0.07810727625950668	3.032711692016137e-7	9.934952994632368e-9	2.7323066055637187e-9
Eccentric medium spiny neuron	2.260046268872662e-4	2.749786068550871e-4	yes	iq	3.5076936428935217	Upper-layer intratelencephalic	0.13994057195924484	0.1982198097613174	0.01091221739907609	1.4164570502044636	0.07797751035528198	2.813354286940395e-7	9.50365495223709e-9	2.709374284008867e-9
Hippocampal CA1-3	0.01940043590763018	0.01940043590763018	yes	iq	2.06629247195641	Amygdala excitatory	0.13993486837039576	0.1841778051885027	0.01097355923647219	1.3161680668537856	0.07841904854925871	1.3871390131053e-4	5.959163039417166e-9	2.883988167355079e-9
Hippocampal CA1-3	0.00139223494398399	0.00649673508584491	yes	iq	2.990581308447204	CGE interneuron	0.13993486837039576	0.1841498660881561	0.01097586612984666	1.3159684089652834	0.07843553402854876	1.3560815979834e-4	8.377204346657414e-9	2.801195982531938e-9
Hippocampal CA1-3	0.00344696015510781	0.00825443940520309	yes	iq	2.7019255211071735	Deep-layer corticothalamic and 6b	0.13993486837039576	0.18474855851476485	0.01102644683871013	1.3202467738473234	0.07879699296621381	1.2300905402071e-4	7.655131860502821e-9	2.833213499299552e-9
Hippocampal CA1-3	0.0155544160483666	0.01777647548384754	yes	iq	2.155677809400677	Deep-layer intratelencephalic	0.13993486837039576	0.18469850429169352	0.01091596595362028	1.3198890772728082	0.07800747648346407	1.0881849677127e-4	6.406310206872756e-9	2.971831031026776e-9
Hippocampal CA1-3	0.00412721970260154	0.00825443940520309	yes	iq	2.6414811757717627	Eccentric medium spiny neuron	0.13993486837039576	0.18437476240381703	0.01082200650798306	1.3175755589078246	0.07733602520951484	1.0188805414325e-4	7.1191754748004104e-9	2.6951452617187015e-9
Hippocampal CA1-3	0.00613374732622828	0.00981399572196526	yes	iq	2.5043548003817135	Hippocampal CA4	0.13993486837039576	0.18339764420706595	0.01086394817811833	1.3105928947003254	0.07763574800643958	1.5375725654271e-4	7.530195694202691e-9	3.006840601441513e-9
Hippocampal CA1-3	0.00162418377146122	0.00649673508584491	yes	iq	2.94320165178246	LAMP5-LHX6 and Chandelier	0.13993486837039576	0.1840907938641717	0.01091886911763098	1.3155462681173855	0.07802822302108195	1.2890865983431e-4	8.2496021111626e-9	2.802934724559726e-9
Hippocampal CA1-3	0.0081407063493617	0.01085427513248227	yes	iq	2.402545416161347	Upper-layer intratelencephalic	0.13993486837039576	0.1849524614799334	0.01102374376380565	1.3217039014920848	0.07877767630171155	1.1518391900419e-4	6.966279226415681e-9	2.899541119828658e-9
Hippocampal CA4	0.11335916257998824	0.1295533286628437	no	iq	1.208855603464172	Amygdala excitatory	0.13866112277830536	0.17692340611417645	0.01092581625578114	1.2759409600126037	0.07879509437731579	6.6211555384201e-4	3.419905126278623e-9	2.829043532145882e-9
Hippocampal CA4	0.01810021651032944	0.08696032220404204	no	iq	2.0946689300434502	CGE interneuron	0.13866112277830536	0.17789964164932043	0.01098699793166851	1.2829814015984171	0.07923632602654443	5.1225162377933e-4	5.820304507267964e-9	2.778627411610689e-9
Hippocampal CA4	0.04333227855869193	0.08696032220404204	no	iq	1.7132608733753076	Deep-layer corticothalamic and 6b	0.13866112277830536	0.1782020655095519	0.01121105733596483	1.2851624300956042	0.08085220364102585	6.0519822523582e-4	4.948446595874924e-9	2.888320554549263e-9
Hippocampal CA4	0.09456787525742703	0.12609050034323604	no	iq	1.3131400797775048	Deep-layer intratelencephalic	0.13866112277830536	0.1778870178810609	0.0110616004635488	1.282890361168291	0.07977434656456917	5.6356017738487e-4	3.902615908702611e-9	2.9719722737911255e-9
Hippocampal CA4	0.04348016110202102	0.08696032220404204	no	iq	1.7116546957492025	Eccentric medium spiny neuron	0.13866112277830536	0.17775414961415584	0.01087251955777707	1.2819321382414688	0.07841072782282539	4.7124059137226e-4	4.720828111421926e-9	2.7580493443834414e-9
Hippocampal CA4	0.2186211597035448	0.2186211597035448	no	iq	0.7768583959129087	Hippocampal CA1-3	0.13866112277830536	0.17687184246884957	0.01091581276258635	1.2755690919338394	0.0787229509170989	6.5945514837714e-4	2.335186903288555e-9	3.005936365718761e-9
Hippocampal CA4	0.02665418864793467	0.08696032220404204	no	iq	1.9324144064909643	LAMP5-LHX6 and Chandelier	0.13866112277830536	0.17713655128855507	0.01096003561854305	1.2774781260913712	0.07904187849442278	6.3137262886655e-4	5.3793365692168055e-9	2.783738597242733e-9
Hippocampal CA4	0.05886957522557157	0.09419132036091452	no	iq	1.5643340042235232	Upper-layer intratelencephalic	0.13866112277830536	0.17744736065982192	0.01105794471948321	1.2797196294416922	0.07974798197157908	6.5005615908362e-4	4.407776070023682e-9	2.817669409552685e-9
LAMP5-LHX6 and Chandelier	0.00822714889476583	0.0114412857471442	yes	iq	2.3986797629696035	Amygdala excitatory	0.13366159164685928	0.1773359767267863	0.01000460148997108	1.3267534415968725	0.07485023458649023	1.688930266319985e-5	6.183027694326057e-9	2.577679517615712e-9
LAMP5-LHX6 and Chandelier	0.02602454853600699	0.02602454853600699	yes	iq	1.9427274557387595	CGE interneuron	0.13366159164685928	0.17856007395502158	0.01019598249777752	1.335911623937461	0.07628206706318319	1.4560486741782487e-5	4.9836426617431965e-9	2.5652814279335287e-9
LAMP5-LHX6 and Chandelier	0.003760157938679	0.0114412857471442	yes	iq	2.6728799455610943	Deep-layer corticothalamic and 6b	0.13366159164685928	0.17832417673982276	0.01004459280650733	1.334146739857507	0.07514943285312402	1.2228962969844346e-5	6.957090285770385e-9	2.602844283120222e-9
LAMP5-LHX6 and Chandelier	0.00647896701177963	0.0114412857471442	yes	iq	2.484923326908789	Deep-layer intratelencephalic	0.13366159164685928	0.17829828340334347	0.00986274247069879	1.3339530167680227	0.07378890486922123	8.262884891768606e-6	6.375583926444316e-9	2.565706497824001e-9
LAMP5-LHX6 and Chandelier	0.01446203901535969	0.0165280445889825	yes	iq	2.1845197446063844	Eccentric medium spiny neuron	0.13366159164685928	0.1781917511731747	0.01001707859128545	1.3331559872784278	0.0749435830283324	1.1592288203812071e-5	5.722355758306234e-9	2.619502878119928e-9
LAMP5-LHX6 and Chandelier	0.00640813862502631	0.0114412857471442	yes	iq	2.4888340512906892	Hippocampal CA1-3	0.13366159164685928	0.1781983187077553	0.01011988971276475	1.3332051228191586	0.07571277274253937	1.4498804974714738e-5	6.562005279278531e-9	2.636578069910096e-9
LAMP5-LHX6 and Chandelier	0.00560713474966145	0.0114412857471442	yes	iq	2.5359501542821237	Hippocampal CA4	0.13366159164685928	0.17740385544800952	0.01001372346624444	1.3272612817354406	0.0749184813891878	1.6592609837497744e-5	6.567516994640221e-9	2.58976580574761e-9
LAMP5-LHX6 and Chandelier	0.00858096431035815	0.0114412857471442	yes	iq	2.383220127591655	Upper-layer intratelencephalic	0.13366159164685928	0.17752770201168877	0.00994036010365378	1.3281878498104824	0.07436960746297802	1.3341702957614556e-5	6.173047347328773e-9	2.590212828374733e-9
Upper-layer intratelencephalic	0.03429203809803327	0.0391909006834666	yes	iq	1.8211498838572344	Amygdala excitatory	0.1266802311429707	0.17156881017970457	0.01009638014100832	1.3543455725627216	0.07969972938882311	2.5617649521668084e-5	5.5994937565599075e-9	3.0747023109926902e-9
Upper-layer intratelencephalic	0.00136357783916718	0.00512959384415312	yes	iq	2.9969274944280846	CGE interneuron	0.1266802311429707	0.17175163357517745	0.01013450669433074	1.3557887606104806	0.08000069626406814	2.3563096161256076e-5	8.412871292844768e-9	2.807165441434955e-9
Upper-layer intratelencephalic	0.00256479692207656	0.00512959384415312	yes	iq	2.7987808523211832	Deep-layer corticothalamic and 6b	0.1266802311429707	0.17164446432048286	0.0101359381126078	1.3549427781416483	0.08001199572464023	2.5411751491353756e-5	7.60877042103845e-9	2.7186017135739936e-9
Upper-layer intratelencephalic	0.08803338789859938	0.08803338789859938	no	iq	1.3529651134725589	Deep-layer intratelencephalic	0.1266802311429707	0.17232990295591927	0.01018124066343071	1.3603535563605704	0.0803696091455676	2.142674371196571e-5	4.755548878688731e-9	3.5149087225782214e-9
Upper-layer intratelencephalic	0.00480757799133846	0.00769212478614154	yes	iq	2.5893705738251347	Eccentric medium spiny neuron	0.1266802311429707	0.17157031354405838	0.00982659075562535	1.3543574399578175	0.07757004125241228	1.4488829600175054e-5	7.0227677092885664e-9	2.712152435915813e-9
Upper-layer intratelencephalic	0.00856861967959488	0.01142482623945984	yes	iq	2.3837500127129556	Hippocampal CA1-3	0.1266802311429707	0.17218839980892556	0.01014231013452997	1.359236545871112	0.08006229577433761	2.130894669361643e-5	6.849900122888646e-9	2.873581577915859e-9
Upper-layer intratelencephalic	0.00227326391798832	0.00512959384415312	yes	iq	2.837521544269932	Hippocampal CA4	0.1266802311429707	0.17117584670683025	0.00999031891463505	1.3512435615438845	0.07886249357533957	2.388025197574755e-5	7.816508944620275e-9	2.754695893113083e-9
Upper-layer intratelencephalic	0.00198469783806554	0.00512959384415312	yes	iq	2.8805836798747895	LAMP5-LHX6 and Chandelier	0.1266802311429707	0.17087866914279956	0.01002568330827661	1.3488976740968108	0.07914165626175466	2.7147466227390417e-5	8.005925285675053e-9	2.779271902985664e-9
Amygdala excitatory	2.7304705574004995e-4	9.370677040450916e-4	yes	mdd2019	3.4570645063867396	CGE interneuron	0.1528769824794138	0.20784828472604625	0.01181500708353614	1.3595786713937448	0.07728440797245023	7.136908121085864e-6	3.016365576152424e-9	8.725222137393883e-10
Amygdala excitatory	5.025450761799721e-4	9.370677040450916e-4	yes	mdd2019	3.2890980160775953	Deep-layer corticothalamic and 6b	0.1528769824794138	0.2078089229625817	0.01194582106046267	1.3593211979479314	0.07814008928434524	8.3396201244015e-6	3.1157145964471803e-9	9.472854202632784e-10
Amygdala excitatory	9.744865352379062e-4	0.0012993153803172	yes	mdd2019	3.0978998089529908	Deep-layer intratelencephalic	0.1528769824794138	0.20797593189851032	0.01188391273267595	1.3604136379818723	0.07773513409238192	7.084133840771416e-6	2.974932028413984e-9	9.603060821451915e-10
Amygdala excitatory	0.00128820581695865	0.00147223521938131	yes	mdd2019	3.0142196961724403	Eccentric medium spiny neuron	0.1528769824794138	0.20799965101239631	0.01181172918906448	1.3605687896175296	0.07726296658592822	6.329155396885784e-6	2.8408610317919787e-9	9.424863872395903e-10
Amygdala excitatory	0.00334371042167691	0.00334371042167691	yes	mdd2019	2.7120217314109967	Hippocampal CA1-3	0.1528769824794138	0.20768977968318889	0.01175727549575938	1.3585418570853598	0.07690677370180696	6.324144132922517e-6	2.590015356891126e-9	9.550127592611903e-10
Amygdala excitatory	4.792754310228853e-4	9.370677040450916e-4	yes	mdd2019	3.3024180686852245	Hippocampal CA4	0.1528769824794138	0.20737321361994485	0.01186130189827547	1.3564711329115189	0.07758723194234093	8.383962719313275e-6	2.9874903175300335e-9	9.046372250256695e-10
Amygdala excitatory	2.9135105347544155e-4	9.370677040450916e-4	yes	mdd2019	3.439540725463763	LAMP5-LHX6 and Chandelier	0.1528769824794138	0.2074021590599879	0.01174622838336167	1.3566604710288312	0.0768345122519893	7.023820386411726e-6	3.00404854846884e-9	8.733865327510536e-10
Amygdala excitatory	5.856673150281821e-4	9.370677040450916e-4	yes	mdd2019	3.245769923481653	Upper-layer intratelencephalic	0.1528769824794138	0.20751859481401655	0.01190539264995674	1.3574221014073242	0.07787563867935392	8.609927823941041e-6	3.112692436547981e-9	9.58999716532303e-10
CGE interneuron	4.982594183122746e-5	6.643458910830327e-5	yes	mdd2019	3.8914379300063233	Amygdala excitatory	0.12305912323425695	0.18141605221512672	0.01283312800888383	1.474218631232897	0.10428424704809997	1.2101907197857463e-5	4.353069071660023e-9	1.1186273942837755e-9
CGE interneuron	2.48782165106487e-5	5.117542849486512e-5	yes	mdd2019	4.056768136508467	Deep-layer corticothalamic and 6b	0.12305912323425695	0.18120929238697508	0.0127497448978218	1.472538464637219	0.10360666127574487	1.10967533815471e-5	4.503098890268583e-9	1.1100212629219327e-9
CGE interneuron	2.613697860587294e-5	5.117542849486512e-5	yes	mdd2019	4.045220239327862	Deep-layer intratelencephalic	0.12305912323425695	0.18153540405541835	0.01266202061404804	1.4751885052020497	0.10289379837319708	8.556209662988181e-6	4.463806849159031e-9	1.10347684058377e-9
CGE interneuron	6.0855558381200936e-5	6.954920957851536e-5	yes	mdd2019	3.842653756922032	Eccentric medium spiny neuron	0.12305912323425695	0.1815230918781066	0.01265324009742567	1.4750884542916567	0.10282244635644608	8.5316756046684e-6	4.244245898367249e-9	1.104509062447222e-9
CGE interneuron	2.991224254988989e-5	5.117542849486512e-5	yes	mdd2019	4.013502040665065	Hippocampal CA1-3	0.12305912323425695	0.18154167166479457	0.01286798693292582	1.4752394368941624	0.10456751677346304	1.181093892484836e-5	4.456721017946514e-9	1.110431980049026e-9
CGE interneuron	1.8984083780648753e-5	5.117542849486512e-5	yes	mdd2019	4.119508344236889	Hippocampal CA4	0.12305912323425695	0.18202653187947335	0.01283697850321734	1.4791794959644338	0.10431553683980592	9.903385848433696e-6	4.5648126713416185e-9	1.1080964741163108e-9
CGE interneuron	8.907317552719896e-4	8.907317552719896e-4	yes	mdd2019	3.1244358679803064	LAMP5-LHX6 and Chandelier	0.12305912323425695	0.18114891974170813	0.01273839994892873	1.472047865942216	0.10351447023297698	1.1169249554851684e-5	3.738745156121854e-9	1.196614465490261e-9
CGE interneuron	3.19846428092907e-5	5.117542849486512e-5	yes	mdd2019	3.9976691175244654	Upper-layer intratelencephalic	0.12305912323425695	0.18127660865914372	0.01276218106860358	1.4730854884612103	0.1037077197788036	1.1045706747735408e-5	4.468086107664204e-9	1.117672817912214e-9
Deep-layer corticothalamic and 6b	0.232359032581821	0.232359032581821	no	mdd2019	0.7311000149976922	Amygdala excitatory	0.14169744507737506	0.17153499027854013	0.01253080545277709	1.2105722173386544	0.08843353135926015	0.01945970292268676	7.588982286704386e-10	1.0380224498734751e-9
Deep-layer corticothalamic and 6b	0.06827990865019862	0.18955717247725	no	mdd2019	1.4887249304591137	CGE interneuron	0.14169744507737506	0.17135516139307094	0.01269275763319732	1.2093031126955116	0.08957647490585552	0.02193496281230567	1.465272777565763e-9	9.84246819265586e-10
Deep-layer corticothalamic and 6b	0.1846206431803892	0.2109950207775876	no	mdd2019	0.8978954580158244	Deep-layer intratelencephalic	0.14169744507737506	0.17146541943723254	0.01267584244694631	1.210081235717429	0.08945709952656211	0.0212022124422821	9.71158504484505e-10	1.0815941831698072e-9
Deep-layer corticothalamic and 6b	0.08846211588139741	0.18955717247725	no	mdd2019	1.3502860921835942	Eccentric medium spiny neuron	0.14169744507737506	0.1712519969528207	0.01250679371247009	1.2085750512954354	0.0882640735380984	0.020385000988496	1.306875395530424e-9	9.678507414802967e-10
Deep-layer corticothalamic and 6b	0.18293544594532385	0.2109950207775876	no	mdd2019	0.9042348360269752	Hippocampal CA1-3	0.14169744507737506	0.17138027169914197	0.01254014431180366	1.2094803234141474	0.08849943839817304	0.02016022984191297	9.49366429108057e-10	1.0499113629368454e-9
Deep-layer corticothalamic and 6b	0.09994291850145488	0.18955717247725	no	mdd2019	1.2818768871522597	Hippocampal CA4	0.14169744507737506	0.1717585403615269	0.01278639644870578	1.212149875163499	0.09023731120715456	0.02118202851256753	1.3387485312273272e-9	1.0443659173865055e-9
Deep-layer corticothalamic and 6b	0.05445271654937411	0.18955717247725	no	mdd2019	1.6031323684584915	LAMP5-LHX6 and Chandelier	0.14169744507737506	0.1717231436082715	0.01278108723424606	1.211900070001267	0.09019984253962268	0.02117568917411746	1.5798261804447852e-9	9.854620937907231e-10
Deep-layer corticothalamic and 6b	0.11847323279828126	0.18955717247725	no	mdd2019	1.1826535870070594	Upper-layer intratelencephalic	0.14169744507737506	0.17127542276081936	0.01270899419766698	1.2087403740222205	0.08969106105425637	0.02226073364466844	1.2565288130039195e-9	1.062465650811423e-9
Deep-layer intratelencephalic	0.2041884950969708	0.2041884950969708	no	mdd2019	0.8267531485133571	Amygdala excitatory	0.13561372880676392	0.1731730524641295	0.01276307368503505	1.276958122070988	0.09411343377499164	0.00386069973313766	9.153777381636267e-10	1.10719595058045e-9
Deep-layer intratelencephalic	0.01945939843356126	0.0679268464780991	no	mdd2019	2.065044427112038	CGE interneuron	0.13561372880676392	0.1742842878481524	0.01242070805853742	1.285152243667676	0.0915888691198492	0.00227676970698533	2.035284077501365e-9	9.855885184744944e-10
Deep-layer intratelencephalic	0.0457930871897414	0.07326893950358625	no	mdd2019	1.6870893406109926	Deep-layer corticothalamic and 6b	0.13561372880676392	0.17327072992286352	0.0129059331482852	1.277678384389512	0.0951668629853462	0.00419597313382935	1.8990305251771295e-9	1.125625347433812e-9
Deep-layer intratelencephalic	0.02575776486767689	0.0679268464780991	no	mdd2019	1.9471602153919108	Eccentric medium spiny neuron	0.13561372880676392	0.17329545865235585	0.01258737065876725	1.277860731189573	0.0928178199177976	0.00333758576378921	1.914383588056659e-9	9.83166959207486e-10
Deep-layer intratelencephalic	0.07857546137612648	0.1047672818348353	no	mdd2019	1.4147189269404703	Hippocampal CA1-3	0.13561372880676392	0.17293332936785127	0.01258086531020859	1.2751904315990312	0.09276985022759072	0.00360664121338556	1.456734385455e-9	1.0296988028607166e-9
Deep-layer intratelencephalic	0.03396342323904955	0.0679268464780991	no	mdd2019	1.825491806713238	Hippocampal CA4	0.13561372880676392	0.173009949305183	0.01273010176129963	1.2757554181826605	0.09387030261101932	0.00397557015530662	1.8698200838276302e-9	1.0242829230738671e-9
Deep-layer intratelencephalic	0.02017494823902421	0.0679268464780991	no	mdd2019	2.0501489644533764	LAMP5-LHX6 and Chandelier	0.13561372880676392	0.1739780528602188	0.01240678315770092	1.2828941021754532	0.09148618850661765	0.00246307562361953	2.0303448380697334e-9	9.903401524830547e-10
Deep-layer intratelencephalic	0.093228807740242	0.10654720884599084	no	mdd2019	1.3211312181627868	Upper-layer intratelencephalic	0.13561372880676392	0.17339100517205736	0.01285796024282991	1.278565280209368	0.09481311631178012	0.00394001225703351	1.6770706953518652e-9	1.269420230402292e-9
Eccentric medium spiny neuron	0.02728033561098752	0.02728033561098752	yes	mdd2019	1.9223584400236329	Amygdala excitatory	0.13994057195924484	0.18676176832392205	0.01342206100078368	1.3345791410536256	0.09591257783834564	5.6702110916576e-4	2.055132891241432e-9	1.0690685194048234e-9
Eccentric medium spiny neuron	0.01623486430528864	0.01855413063461559	yes	mdd2019	2.138579630987436	CGE interneuron	0.13994057195924484	0.1869891919883471	0.01338442329208564	1.3362042856506569	0.09564362289432128	5.1082792655097e-4	2.1461692497211558e-9	1.0035489063038611e-9
Eccentric medium spiny neuron	0.00551099716714897	0.01483307409961209	yes	mdd2019	2.5420007298988527	Deep-layer corticothalamic and 6b	0.13994057195924484	0.1864603630814205	0.01348899723600619	1.3324253322026132	0.09639089684394472	6.5177834742106e-4	2.559652755616793e-9	1.006944146596938e-9
Eccentric medium spiny neuron	0.00580466702972426	0.01483307409961209	yes	mdd2019	2.5238018648361362	Deep-layer intratelencephalic	0.13994057195924484	0.1866118565699179	0.01344014632621725	1.333507888078843	0.096041813593069	6.008300560066e-4	2.503570479599655e-9	9.91983766428592e-10
Eccentric medium spiny neuron	0.01023076710723402	0.0150571096010809	yes	mdd2019	2.317775335829791	Hippocampal CA1-3	0.13994057195924484	0.1868965224285171	0.01328646983055641	1.3355420791258974	0.09494365818674698	4.7864411480337e-4	2.3624098948797262e-9	1.0192575002244363e-9
Eccentric medium spiny neuron	0.00588374743191033	0.01483307409961209	yes	mdd2019	2.5190410143935	Hippocampal CA4	0.13994057195924484	0.18715120324917023	0.0135004974891326	1.33736200037595	0.09647307639320198	5.5798334118e-4	2.5949803030656e-9	1.0301461104595727e-9
Eccentric medium spiny neuron	0.01129283220081067	0.0150571096010809	yes	mdd2019	2.280371500812736	LAMP5-LHX6 and Chandelier	0.13994057195924484	0.1862717959143352	0.01331880842986577	1.33107785187975	0.09517474627547352	5.7938023813188e-4	2.308276541713844e-9	1.012237059133199e-9
Eccentric medium spiny neuron	0.00741653704980604	0.01483307409961209	yes	mdd2019	2.436429170062815	Upper-layer intratelencephalic	0.13994057195924484	0.1868851870642667	0.01348859470851688	1.3354610778544886	0.0963880204265936	5.7890317300012e-4	2.5214788451439447e-9	1.0349075097795423e-9
Hippocampal CA1-3	0.05002967900667754	0.05002967900667754	no	mdd2019	1.6445659282941452	Amygdala excitatory	0.13993486837039576	0.1835349674744603	0.01260640507330223	1.311574231725139	0.09008766163937174	8.9605204056614e-4	1.8234705442545715e-9	1.1087853109944935e-9
Hippocampal CA1-3	0.00350677943660115	0.01199115114337345	yes	mdd2019	2.6961997782119993	CGE interneuron	0.13993486837039576	0.18395319455509063	0.01271514708778702	1.3145629584485126	0.09086475183676952	8.9890026519752e-4	2.7144828602129964e-9	1.006781056117852e-9
Hippocampal CA1-3	0.00751320209685135	0.01199115114337345	yes	mdd2019	2.431742056201234	Deep-layer corticothalamic and 6b	0.13993486837039576	0.18365650443652892	0.01276325333723332	1.3124427569432209	0.09120852783775144	9.9907052352383e-4	2.670817255286924e-9	1.0983143744526764e-9
Hippocampal CA1-3	0.00899336335753009	0.01199115114337345	yes	mdd2019	2.3658912553509746	Deep-layer intratelencephalic	0.13993486837039576	0.18356766814758751	0.01264986576929924	1.311807916678061	0.09039823967115984	9.258188215121e-4	2.4823366643554587e-9	1.049218411345457e-9
Hippocampal CA1-3	0.00665586403253226	0.01199115114337345	yes	mdd2019	2.4753188292337973	Eccentric medium spiny neuron	0.13993486837039576	0.18398435326950707	0.01253896810126508	1.314785624284264	0.08960574478174727	7.5667713375143e-4	2.556684280214563e-9	1.0328706952897666e-9
Hippocampal CA1-3	0.01064858499329091	0.01216981142090389	yes	mdd2019	2.3026743932261335	Hippocampal CA4	0.13993486837039576	0.1834561081732657	0.01277209936093681	1.3110106888275543	0.091271743130741	0.00105763181578191	2.5399937679817915e-9	1.1030624978736852e-9
Hippocampal CA1-3	0.00409452422860689	0.01199115114337345	yes	mdd2019	2.6441742605060417	LAMP5-LHX6 and Chandelier	0.13993486837039576	0.1835081246211845	0.01255443528538209	1.3113824078174283	0.08971627609032773	8.5880648929439e-4	2.6617707249275475e-9	1.0066548051254906e-9
